date_of_infraction,infraction_code,infraction_description,set_fine_amount,location2
20220101,3,PARK ON PRIVATE PROPERTY,30,4685 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,4685 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,51 LISGAR ST
20220101,3,PARK ON PRIVATE PROPERTY,30,51 LISGAR ST
20220101,3,PARK ON PRIVATE PROPERTY,30,70 EDWARD ST
20220101,3,PARK ON PRIVATE PROPERTY,30,70 EDWARD ST
20220101,3,PARK ON PRIVATE PROPERTY,30,66 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,145 ELINOR AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,77 HOWARD ST
20220101,3,PARK ON PRIVATE PROPERTY,30,70 EDWARD ST
20220101,3,PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,38 DAN LECKIE WAY
20220101,3,PARK ON PRIVATE PROPERTY,30,38 DAN LECKIE WAY
20220101,3,PARK ON PRIVATE PROPERTY,30,38 DAN LECKIE WAY
20220101,3,PARK ON PRIVATE PROPERTY,30,38 DAN LECKIE WAY
20220101,3,PARK ON PRIVATE PROPERTY,30,38 DAN LECKIE WAY
20220101,3,PARK ON PRIVATE PROPERTY,30,38 DAN LECKIE WAY
20220101,3,PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,88 HARBOUR ST
20220101,3,PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,4000 LESLIE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,33 SHORE BREEZE DR
20220101,3,PARK ON PRIVATE PROPERTY,30,33 SHORE BREEZE DR
20220101,3,PARK ON PRIVATE PROPERTY,30,33 SHORE BREEZE DR
20220101,3,PARK ON PRIVATE PROPERTY,30,33 SHORE BREEZE DR
20220101,3,PARK ON PRIVATE PROPERTY,30,4000 SPADINA AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,4 K SPADINA AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,5 MARINER TER
20220101,3,PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,56 ANNIE CRAIG DR
20220101,3,PARK ON PRIVATE PROPERTY,30,56 ANNIE CRAIG DR
20220101,3,PARK ON PRIVATE PROPERTY,30,56 ANNIE CRAIG DR
20220101,3,PARK ON PRIVATE PROPERTY,30,170 BAYVIEW AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,170 BAYVIEW AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,12 YORK ST
20220101,3,PARK ON PRIVATE PROPERTY,30,170 BAYVIEW AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,170 BAYVIEW AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,170 BAYVIEW AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,170 BAYVIEW AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,85 QUEENS WHARF RD
20220101,3,PARK ON PRIVATE PROPERTY,30,85 QUEENS WHARF RD
20220101,3,PARK ON PRIVATE PROPERTY,30,85 QUEENS WHARF RD
20220101,3,PARK ON PRIVATE PROPERTY,30,5162 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,85 QUEENS WHARF RD
20220101,3,PARK ON PRIVATE PROPERTY,30,85 QUEENS WHARF RD
20220101,3,PARK ON PRIVATE PROPERTY,30,85 QUEENS WHARF RD
20220101,3,PARK ON PRIVATE PROPERTY,30,85 QUEENS WHARF RD
20220101,3,PARK ON PRIVATE PROPERTY,30,10 WILLOWRIDGE RD
20220101,3,PARK ON PRIVATE PROPERTY,30,85 QUEENS WHARF RD
20220101,3,PARK ON PRIVATE PROPERTY,30,85 QUEENS WHARF RD
20220101,3,PARK ON PRIVATE PROPERTY,30,10 WILLOWRIDGE RD
20220101,3,PARK ON PRIVATE PROPERTY,30,47 SUDBURY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,111 CHESTNUT ST
20220101,3,PARK ON PRIVATE PROPERTY,30,160 CHESTER LE BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,350 QUEENS QUAY W
20220101,3,PARK ON PRIVATE PROPERTY,30,5310 FINCH AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,1 OAK ST
20220101,3,PARK ON PRIVATE PROPERTY,30,1 OAK ST
20220101,3,PARK ON PRIVATE PROPERTY,30,1 OAK ST
20220101,3,PARK ON PRIVATE PROPERTY,30,16 CARLUKE CRES
20220101,3,PARK ON PRIVATE PROPERTY,30,21 PIRANDELLO ST
20220101,3,PARK ON PRIVATE PROPERTY,30,21 PIRANDELLO ST
20220101,3,PARK ON PRIVATE PROPERTY,30,21 PIRANDELLO ST
20220101,3,PARK ON PRIVATE PROPERTY,30,21 PIRANDELLO ST
20220101,3,PARK ON PRIVATE PROPERTY,30,21 PIRANDELLO ST
20220101,3,PARK ON PRIVATE PROPERTY,30,21 PIRANDELLO ST
20220101,3,PARK ON PRIVATE PROPERTY,30,21 PIRANDELLO ST
20220101,3,PARK ON PRIVATE PROPERTY,30,80 ESTHER LORRIE DR
20220101,3,PARK ON PRIVATE PROPERTY,30,80 ESTHER LORRIE DR
